date,n_gear,site,lon,lat,family,genus,species,cpue
2012-07-17,9,Bastia,9.5832,42.771,Atherinidae,Atherina,Atherina hepsetus,0.8889
2012-07-17,9,Bastia,9.5832,42.771,Blenniidae,Parablennius,NA,0.6667
2012-07-17,9,Bastia,9.5832,42.771,Mullidae,Mullus,Mullus surmuletus,0.3333
2012-07-17,9,Bastia,9.5832,42.771,Pomacentridae,Chromis,Chromis chromis,0.5556
2012-07-17,9,Bastia,9.5832,42.771,Sparidae,Lithognathus,Lithognathus mormyrus,0.1111
2012-07-17,9,Leucate,3.0652,42.897,Blenniidae,Parablennius,Parablennius pilicornis,0.1111
2012-07-17,9,Leucate,3.0652,42.897,Blenniidae,NA,NA,0.1111
2012-07-17,9,Leucate,3.0652,42.897,Mullidae,Mullus,Mullus surmuletus,7.2222
2012-07-18,9,Bastia,9.5832,42.771,Atherinidae,Atherina,Atherina hepsetus,0.4444
2012-07-18,9,Bastia,9.5832,42.771,Blenniidae,Parablennius,NA,0.2222
2012-07-18,9,Bastia,9.5832,42.771,Mullidae,Mullus,Mullus surmuletus,0.7778
2012-07-18,9,Bastia,9.5832,42.771,Pomacentridae,Chromis,Chromis chromis,1.4444
2012-07-18,9,Bastia,9.5832,42.771,Sparidae,Spicara,NA,0.1111
2012-07-18,5,Bonifacio,9.1969,41.3631,Atherinidae,Atherina,Atherina hepsetus,1.2
2012-07-18,5,Bonifacio,9.1969,41.3631,Blenniidae,Parablennius,Parablennius ocellaris,0.4
2012-07-18,5,Bonifacio,9.1969,41.3631,Blenniidae,Parablennius,Parablennius pilicornis,5.2
2012-07-18,5,Bonifacio,9.1969,41.3631,Mullidae,Mullus,Mullus surmuletus,1.2
2012-07-18,5,Bonifacio,9.1969,41.3631,Pomacentridae,Chromis,Chromis chromis,10.4
2012-07-18,9,Leucate,3.0652,42.897,Blenniidae,Parablennius,Parablennius pilicornis,0.2222
2012-07-18,9,Leucate,3.0652,42.897,Blenniidae,NA,NA,0.1111
2012-07-18,9,Leucate,3.0652,42.897,Mullidae,Mullus,Mullus surmuletus,2.7778
2012-07-18,9,Leucate,3.0652,42.897,Pomacentridae,Chromis,Chromis chromis,0.1111
2012-07-18,9,Leucate,3.0652,42.897,Sparidae,Pagellus,Pagellus acarne,0.1111
2012-07-18,9,Leucate,3.0652,42.897,Sparidae,Pagellus,Pagellus erythrinus,0.2222
2012-07-18,9,Leucate,3.0652,42.897,Sparidae,Pagrus,Pagrus pagrus,0.1111
2012-07-18,5,Port-Cros,6.4199,43.0062,Blenniidae,Parablennius,Parablennius pilicornis,0.2
2012-07-18,5,Port-Cros,6.4199,43.0062,Blenniidae,NA,NA,0.4
2012-07-18,5,Port-Cros,6.4199,43.0062,Pomacentridae,Chromis,Chromis chromis,7.4
2012-07-18,5,Port-Cros,6.4199,43.0062,Sparidae,Lithognathus,Lithognathus mormyrus,0.2
2012-07-19,9,Bastia,9.5832,42.771,Atherinidae,Atherina,Atherina hepsetus,0.4444
2012-07-19,9,Bastia,9.5832,42.771,Blenniidae,Parablennius,NA,0.1111
2012-07-19,9,Bastia,9.5832,42.771,Mullidae,Mullus,Mullus surmuletus,0.4444
2012-07-19,9,Bastia,9.5832,42.771,Pomacentridae,Chromis,Chromis chromis,0.1111
2012-07-19,9,Bastia,9.5832,42.771,Sparidae,Oblada,Oblada melanura,0.1111
2012-07-19,5,Bonifacio,9.1969,41.3631,Atherinidae,Atherina,Atherina hepsetus,0.4
2012-07-19,5,Bonifacio,9.1969,41.3631,Blenniidae,Parablennius,Parablennius pilicornis,2.6
2012-07-19,5,Bonifacio,9.1969,41.3631,Congridae,Conger,Conger conger,0.2
2012-07-19,5,Bonifacio,9.1969,41.3631,Mullidae,Mullus,Mullus surmuletus,0.2
2012-07-19,5,Bonifacio,9.1969,41.3631,Pomacentridae,Chromis,Chromis chromis,3
2012-07-19,9,Leucate,3.0652,42.897,Atherinidae,Atherina,NA,0.1111
2012-07-19,9,Leucate,3.0652,42.897,Blenniidae,Lipophrys,Lipophrys pholis,0.1111
2012-07-19,9,Leucate,3.0652,42.897,Blenniidae,Parablennius,Parablennius pilicornis,0.4444
2012-07-19,9,Leucate,3.0652,42.897,Mullidae,Mullus,Mullus surmuletus,1.2222
2012-07-19,5,Port Vendres,3.1205,42.5228,Blenniidae,Parablennius,Parablennius pilicornis,3.8
2012-07-19,5,Port Vendres,3.1205,42.5228,Bothidae,Arnoglossus,NA,0.2
2012-07-19,5,Port Vendres,3.1205,42.5228,Mullidae,Mullus,Mullus surmuletus,0.4
2012-07-19,5,Port Vendres,3.1205,42.5228,Sparidae,Lithognathus,Lithognathus mormyrus,0.2
2012-07-19,5,Port Vendres,3.1205,42.5228,Sparidae,NA,NA,0.2
2012-07-19,5,Port-Cros,6.4199,43.0062,Blenniidae,Parablennius,Parablennius pilicornis,0.2
2012-07-19,5,Port-Cros,6.4199,43.0062,Mullidae,Mullus,Mullus surmuletus,0.8
2012-07-19,5,Port-Cros,6.4199,43.0062,Pomacentridae,Chromis,Chromis chromis,1
2012-07-19,5,Port-Cros,6.4199,43.0062,Sparidae,NA,NA,0.2
2012-07-19,5,Saint Florent,9.3122,42.7153,Blenniidae,Parablennius,Parablennius pilicornis,2.4
2012-07-19,5,Saint Florent,9.3122,42.7153,Mullidae,Mullus,Mullus surmuletus,0.4
2012-07-19,5,Saint Florent,9.3122,42.7153,Pomacentridae,Chromis,Chromis chromis,86.2
2012-07-19,5,Saint Florent,9.3122,42.7153,Sparidae,Pagellus,Pagellus erythrinus,3
2012-07-20,5,Agde,3.4696,43.2474,Blenniidae,Parablennius,Parablennius pilicornis,0.4
2012-07-20,9,Bastia,9.5832,42.771,Atherinidae,Atherina,Atherina hepsetus,0.3333
2012-07-20,9,Bastia,9.5832,42.771,Blenniidae,Parablennius,NA,0.4444
2012-07-20,9,Bastia,9.5832,42.771,Pomacentridae,Chromis,Chromis chromis,0.4444
2012-07-20,9,Bastia,9.5832,42.771,Sparidae,Diplodus,Diplodus sargus,0.1111
2012-07-20,5,Bonifacio,9.1969,41.3631,Atherinidae,Atherina,Atherina hepsetus,0.6
2012-07-20,5,Bonifacio,9.1969,41.3631,Blenniidae,Parablennius,Parablennius pilicornis,2.2
2012-07-20,5,Bonifacio,9.1969,41.3631,Mullidae,Mullus,Mullus surmuletus,0.2
2012-07-20,5,Bonifacio,9.1969,41.3631,Pomacentridae,Chromis,Chromis chromis,1
2012-07-20,9,Leucate,3.0652,42.897,Blenniidae,Parablennius,Parablennius pilicornis,0.6667
2012-07-20,9,Leucate,3.0652,42.897,Blenniidae,Parablennius,Parablennius rouxi,0.1111
2012-07-20,9,Leucate,3.0652,42.897,Blenniidae,NA,NA,0.2222
2012-07-20,9,Leucate,3.0652,42.897,Mullidae,Mullus,Mullus surmuletus,2.2222
2012-07-20,9,Leucate,3.0652,42.897,Sparidae,Pagellus,Pagellus erythrinus,0.1111
2012-07-20,9,Leucate,3.0652,42.897,Sparidae,NA,NA,0.2222
2012-07-20,4,Port Vendres,3.1205,42.5228,Blenniidae,Parablennius,Parablennius pilicornis,5.75
2012-07-20,4,Port Vendres,3.1205,42.5228,Sparidae,Lithognathus,Lithognathus mormyrus,1.75
2012-07-20,5,Port-Cros,6.4199,43.0062,Mullidae,Mullus,Mullus barbatus,0.4
2012-07-20,5,Port-Cros,6.4199,43.0062,Mullidae,Mullus,Mullus surmuletus,2.6
2012-07-20,5,Port-Cros,6.4199,43.0062,Pomacentridae,Chromis,Chromis chromis,0.2
2012-07-20,5,Saint Florent,9.3122,42.7153,Atherinidae,Atherina,Atherina hepsetus,0.6
2012-07-21,5,Agde,3.4696,43.2474,Mullidae,Mullus,Mullus surmuletus,0.2
2012-07-21,5,Agde,3.4696,43.2474,Syngnathidae,Hippocampus,Hippocampus hippocampus,0.2
2012-07-21,9,Bastia,9.5832,42.771,Atherinidae,Atherina,Atherina hepsetus,0.3333
2012-07-21,9,Bastia,9.5832,42.771,Blenniidae,Parablennius,NA,0.1111
2012-07-21,9,Bastia,9.5832,42.771,Pomacentridae,Chromis,Chromis chromis,0.2222
2012-07-21,9,Bastia,9.5832,42.771,Scorpaenidae,Scorpaena,Scorpaena porcus,0.1111
2012-07-21,9,Bastia,9.5832,42.771,Sparidae,Oblada,Oblada melanura,0.1111
2012-07-21,8,Leucate,3.0652,42.897,Atherinidae,Atherina,NA,0.125
2012-07-21,8,Leucate,3.0652,42.897,Blenniidae,Parablennius,Parablennius pilicornis,0.375
2012-07-21,8,Leucate,3.0652,42.897,Mullidae,Mullus,Mullus surmuletus,0.625
2012-07-21,8,Leucate,3.0652,42.897,Sparidae,Pagellus,Pagellus erythrinus,0.125
2012-07-21,3,Port Vendres,3.1205,42.5228,Blenniidae,Parablennius,Parablennius pilicornis,0.3333
2012-07-21,5,Port-Cros,6.4199,43.0062,Mullidae,Mullus,Mullus surmuletus,1
2012-07-21,5,Port-Cros,6.4199,43.0062,Pomacentridae,Chromis,Chromis chromis,1.4
2012-07-21,5,Saint Florent,9.3122,42.7153,Blenniidae,Parablennius,NA,0.4
2012-07-21,5,Saint Florent,9.3122,42.7153,Mullidae,Mullus,Mullus barbatus,0.8
2012-07-21,5,Saint Florent,9.3122,42.7153,Mullidae,Mullus,Mullus surmuletus,2.8
2012-07-21,5,Saint Florent,9.3122,42.7153,Pomacentridae,Chromis,Chromis chromis,9.4
2012-07-21,5,Saint Florent,9.3122,42.7153,Sparidae,Diplodus,Diplodus annularis,0.2
2012-07-24,5,Agde,3.4696,43.2474,Mullidae,Mullus,Mullus surmuletus,1
2012-07-24,5,Agde,3.4696,43.2474,Sparidae,Lithognathus,Lithognathus mormyrus,0.2
2012-07-24,5,Agde,3.4696,43.2474,Syngnathidae,Hippocampus,Hippocampus hippocampus,0.2
2012-07-24,9,Leucate,3.0652,42.897,Blenniidae,Aidablennius,Aidablennius sphynx,0.7778
2012-07-24,9,Leucate,3.0652,42.897,Blenniidae,Parablennius,Parablennius pilicornis,0.4444
2012-07-24,9,Leucate,3.0652,42.897,Blenniidae,Parablennius,Parablennius rouxi,0.1111
2012-07-24,9,Leucate,3.0652,42.897,Blenniidae,NA,NA,0.2222
2012-07-24,9,Leucate,3.0652,42.897,Mullidae,Mullus,Mullus surmuletus,1.4444
2012-07-24,9,Leucate,3.0652,42.897,Serranidae,Serranus,Serranus hepatus,0.2222
2012-07-24,9,Leucate,3.0652,42.897,Serranidae,Serranus,NA,0.1111
2012-07-24,9,Leucate,3.0652,42.897,Sparidae,Pagellus,Pagellus erythrinus,0.1111
2012-07-24,9,Leucate,3.0652,42.897,Syngnathidae,Hippocampus,Hippocampus hippocampus,0.1111
2012-07-24,9,Leucate,3.0652,42.897,Syngnathidae,Syngnathus,NA,0.1111
2012-07-24,5,Port Vendres,3.1205,42.5228,Blenniidae,Parablennius,Parablennius pilicornis,17.4
2012-07-24,5,Port Vendres,3.1205,42.5228,Sparidae,Lithognathus,Lithognathus mormyrus,2.4
2012-07-24,5,Port Vendres,3.1205,42.5228,Uranoscopidae,Uranoscopus,Uranoscopus scaber,0.2
2012-07-25,9,Bastia,9.5832,42.771,Atherinidae,Atherina,Atherina hepsetus,0.4444
2012-07-25,9,Leucate,3.0652,42.897,Blenniidae,Aidablennius,Aidablennius sphynx,0.1111
