Station,Date In,Day_in,Month_in,Year_in,Hour in,Wind Direction,Wind Force,Current Direction,Current speed,T° (Air),T° (water),Date out,Day_out,Month_out,Year_out,Hour out,Wind Direction,Wind Force,Current Direction,Current speed,T° (Air),T° (water),    Observations,
LEU_001,2012-07-16,16,7,2012,15:30:00,NW,3,S,3,24.1,20,2012-07-17,17,7,2012,08:36:00,NW,3,S,3,21.6,19.8,,
LEU_002,2012-07-16,16,7,2012,15:37:00,NW,3,S,3,24.1,20,2012-07-17,17,7,2012,08:41:00,NW,3,S,3,21.6,19.8,,
LEU_003,2012-07-16,16,7,2012,15:40:00,NW,3,S,3,24.1,20,2012-07-17,17,7,2012,08:46:00,NW,3,S,3,21.6,19.8,,
LEU_004,2012-07-16,16,7,2012,15:47:00,NW,3,S,3,24.1,20,2012-07-17,17,7,2012,08:51:00,NW,3,S,3,21.6,19.8,,
LEU_005,2012-07-16,16,7,2012,15:55:00,NW,3,S,3,24.1,20,2012-07-17,17,7,2012,08:56:00,NW,3,S,3,21.6,19.8,,
LEU_006,2012-07-16,16,7,2012,16:03:00,NW,3,S,3,24.1,20,2012-07-17,17,7,2012,09:02:00,NW,3,S,3,21.6,19.8,,
LEU_007,2012-07-16,16,7,2012,16:10:00,NW,3,S,3,24.1,20,2012-07-17,17,7,2012,09:07:00,NW,3,S,3,21.6,19.8,,
LEU_008,2012-07-16,16,7,2012,16:18:00,NW,3,S,3,24.1,20,2012-07-17,17,7,2012,09:15:00,NW,3,S,3,21.6,19.8,,
LEU_009,2012-07-16,16,7,2012,16:24:00,NW,3,S,3,24.1,20,2012-07-17,17,7,2012,09:21:00,NW,3,S,3,21.6,19.8,,
LEU_001,2012-07-17,17,7,2012,19:18:00,NW,2,NW,0.5,32,20,2012-07-18,18,7,2012,10:39:00,,,S,2,21.8,20.8,,
LEU_002,2012-07-17,17,7,2012,19:27:00,NW,2,NW,2,28,20,2012-07-18,18,7,2012,10:33:00,,,S,2,21.5,20.8,,
LEU_003,2012-07-17,17,7,2012,19:35:00,NW,2,NW,1,26.2,20,2012-07-18,18,7,2012,10:28:00,,,S,2,21.6,20.8,,
LEU_004,2012-07-17,17,7,2012,19:42:00,NW,2,NW,1,25.6,20,2012-07-18,18,7,2012,10:22:00,,,S,2,22,20.8,,
LEU_005,2012-07-17,17,7,2012,19:52:00,NW,2,NW,1,27.6,20,2012-07-18,18,7,2012,10:17:00,,,S,2,22.8,20.8,,
LEU_006,2012-07-17,17,7,2012,19:58:00,NW,2,NW,1,27.6,20,2012-07-18,18,7,2012,10:11:00,,,S,2,25,20.8,,
LEU_007,2012-07-17,17,7,2012,20:08:00,NW,2,NW,1,27.7,20,2012-07-18,18,7,2012,10:02:00,,,S,2,25.2,20.8,,
LEU_008,2012-07-17,17,7,2012,20:14:00,NW,2,NW,1,27.4,20,2012-07-18,18,7,2012,09:57:00,,,S,2,25,20.8,,
LEU_009,2012-07-17,17,7,2012,20:20:00,NW,2,NW,1,27.3,20,2012-07-18,18,7,2012,09:52:00,,,S,2,24,20.8,,
LEU_002,2012-07-18,18,7,2012,21:33:00,,,S,2,21.2,21,2012-07-19,19,7,2012,09:33:00,NW,1,S,2,22.2,20.5,,
LEU_003,2012-07-18,18,7,2012,21:27:00,,,S,2,21.5,21,2012-07-19,19,7,2012,09:27:00,NW,1,S,2,21.7,20.5,,
LEU_004,2012-07-18,18,7,2012,21:22:00,,,S,2,21.5,21,2012-07-19,19,7,2012,09:22:00,NW,1,S,2,21.4,20.5,,
LEU_005,2012-07-18,18,7,2012,21:17:00,,,S,2,22,21,2012-07-19,19,7,2012,09:17:00,NW,2,S,2,21.8,20.5,,
LEU_006,2012-07-18,18,7,2012,21:13:00,,,S,2,22,21,2012-07-19,19,7,2012,09:11:00,NW,2,S,2,22,20.5,,
LEU_007,2012-07-18,18,7,2012,21:07:00,,,S,2,22,21,2012-07-19,19,7,2012,09:06:00,NW,2,S,2,21.5,20.5,,
LEU_008,2012-07-18,18,7,2012,21:02:00,,,S,2,22,21,2012-07-19,19,7,2012,09:00:00,NW,3,S,3,22.4,20.5,,
LEU_009,2012-07-18,18,7,2012,20:58:00,,,S,2,22,21,2012-07-19,19,7,2012,08:55:00,NW,3,S,3,23,20.5,,
LEU_012,2012-07-18,18,7,2012,20:46:00,,,S,2,24,21,2012-07-19,19,7,2012,08:42:00,NW,3,S,3,21.6,20.5,,
LEU_002,2012-07-19,19,7,2012,19:14:00,NW,2,NW,1,25.9,20.8,2012-07-20,20,7,2012,10:12:00,NW,0.5,S,3,25,20.6,,
LEU_003,2012-07-19,19,7,2012,19:21:00,NW,3,S,1,22.6,20.8,2012-07-20,20,7,2012,10:08:00,NW,0.5,S,3,25,20.6,,
LEU_004,2012-07-19,19,7,2012,19:29:00,NW,3,S,1,22.3,20.8,2012-07-20,20,7,2012,10:04:00,NW,0.5,S,3,24,20.6,,
LEU_005,2012-07-19,19,7,2012,19:35:00,NW,3,S,1,22.5,20.8,2012-07-20,20,7,2012,09:54:00,NW,0.5,S,3,23,20.6,,
LEU_006,2012-07-19,19,7,2012,19:40:00,NW,3,S,1,22.5,20.8,2012-07-20,20,7,2012,09:51:00,NW,0.5,S,3,23,20.6,,
LEU_007,2012-07-19,19,7,2012,19:47:00,NW,3,S,2,22.4,20.8,2012-07-20,20,7,2012,09:47:00,NW,0.5,S,3,23,20.6,,
LEU_008,2012-07-19,19,7,2012,19:54:00,NW,3,S,2,22.6,20.8,2012-07-20,20,7,2012,09:40:00,NW,0.5,S,3,24,20.6,,
LEU_009,2012-07-19,19,7,2012,19:59:00,NW,3,S,2,22.7,20.8,2012-07-20,20,7,2012,09:37:00,NW,0.5,S,3,24,20.6,,
LEU_012,2012-07-19,19,7,2012,20:18:00,NW,3,NW,1,22.3,20.8,2012-07-20,20,7,2012,08:46:00,NW,0.5,S,3,24,20.6,,
LEU_002,2012-07-20,20,7,2012,18:33:00,NW,3,S,3,25,20.7,2012-07-21,21,7,2012,08:38:00,NW,3,S,2,19.8,20,,
LEU_003,2012-07-20,20,7,2012,18:39:00,NW,3,S,3,25,20.7,2012-07-21,21,7,2012,08:33:00,NW,3,S,2,19.8,20,,
LEU_004,2012-07-20,20,7,2012,18:45:00,NW,3,S,3,24.6,20.7,2012-07-21,21,7,2012,08:28:00,NW,3,S,2,19.9,20,,
