Place,Day,Month,Year,Station,Family,Genus,Species,Abundance,Size TL (mm),Size SL (mm),Weight (g),Remark,Remark 2,TS (O/N),,TS (n°),TS (Box)
Agde,26,6,2014,AGD_008,Blenniidae,Parablennius,gattorugine,1,25,22,0.17,,,,,,
Agde,26,6,2014,AGD_006,Mullidae,Mullus,surmuletus,1,61,51,2.37,,,TS-001,J1 C1,TS-00523,BOX-006
Agde,26,6,2014,AGD_006,Mullidae,Mullus,surmuletus,1,58,49,1.97,,,TS-002,J1 C1,TS-00524,BOX-006
Agde,26,6,2014,AGD_010,Sparidae,Pagellus,erythrinus,1,16,14,0.05,,,,,,
Agde,26,6,2014,AGD_009,Blenniidae,Parablennius,pilicornis,1,18,16,0.05,,,,,,
Agde,26,6,2014,AGD_006,Mullidae,Mullus,surmuletus,1,63,53,2.58,,,TS-003,J1 C1,TS-00525,BOX-006
Agde,26,6,2014,AGD_007,Mullidae,Mullus,surmuletus,1,60.5,52,2.41,,,TS,J1 C2,TS-00526,BOX-006
Agde,26,6,2014,AGD_008,Mullidae,Mullus,surmuletus,1,57,49,1.76,,,TS-001,J1 C3,TS-00527,BOX-006
Agde,26,6,2014,AGD_008,Mullidae,Mullus,surmuletus,1,64,54,2.85,,,TS-002,J1 C3,TS-00528,BOX-006
Agde,26,6,2014,AGD_006,Blenniidae,Parablennius,gattorugine,1,26,22,0.19,,,,,,
Agde,26,6,2014,AGD_006,Blenniidae,Parablennius,pilicornis,1,34,30,0.34,,,,,,
Agde,27,6,2014,AGD_006,Mullidae,Mullus,surmuletus,1,62,52,2.96,,,TS-001,J2 C1,TS-00530,BOX-006
Agde,27,6,2014,AGD_006,Mullidae,Mullus,surmuletus,1,66,55,3.13,,,TS-002,J2 C1,TS-00531,BOX-006
Agde,27,6,2014,AGD_006,Mullidae,Mullus,surmuletus,1,59,50,2.35,,,TS-003,J2 C1,TS-00532,BOX-006
Agde,27,6,2014,AGD_006,Mullidae,Mullus,surmuletus,1,59,50,2.32,,,TS-004,J2 C1,TS-00533,BOX-006
Agde,30,6,2014,AGD_007,Blenniidae,Parablennius,pilicornis,1,24,21,0.11,,,,,,
Agde,27,6,2014,AGD_006,Mullidae,Mullus,surmuletus,1,59,50,2.24,,,TS-005,J2 C1,TS-00534,BOX-006
Agde,27,6,2014,AGD_006,Mullidae,Mullus,surmuletus,1,57,48,2.04,,,TS-006,J2 C1,TS-00535,BOX-006
Agde,27,6,2014,AGD_006,Mullidae,Mullus,surmuletus,1,59,50,2.13,,,TS-007,J2 C1,TS-00536,BOX-006
Agde,27,6,2014,AGD_006,Mullidae,Mullus,surmuletus,1,54,45,1.5,,,TS-008,J2 C1,TS-00537,BOX-006
Agde,27,6,2014,AGD_006,Mullidae,Mullus,surmuletus,1,65,55,,,abîme,TS-009,J2 C1,TS-00538,BOX-006
Agde,27,6,2014,AGD_007,Mullidae,Mullus,surmuletus,1,65,55,2.8,,,TS-001,J2 C2,TS-00539,BOX-006
Agde,27,6,2014,AGD_007,Mullidae,Mullus,surmuletus,1,62,52,2.09,,,TS-002,J2 C2,TS-00540,BOX-006
Agde,27,6,2014,AGD_007,Mullidae,Mullus,surmuletus,1,60,54,2.56,,,TS-003,J2 C2,TS-00541,BOX-006
Agde,27,6,2014,AGD_007,Mullidae,Mullus,surmuletus,1,56,50,1.85,,,TS-004,J2 C2,TS-00542,BOX-006
Agde,27,6,2014,AGD_007,Mullidae,Mullus,surmuletus,1,61,55,2.63,,,TS-005,J2 C2,TS-00543,BOX-006
Agde,27,6,2014,AGD_008,Mullidae,Mullus,surmuletus,1,59,51,2.18,,,TS-001,J2 C3,TS-00544,BOX-006
Agde,27,6,2014,AGD_008,Mullidae,Mullus,surmuletus,1,60,51,2.61,,,TS-002,J2 C3,TS-00545,BOX-006
Agde,27,6,2014,AGD_008,Mullidae,Mullus,surmuletus,1,60,51,2.22,,,TS-003,J2 C3,TS-00546,BOX-006
Agde,27,6,2014,AGD_008,Mullidae,Mullus,surmuletus,1,60,51,2.53,,,TS-004,J2 C3,TS-00547,BOX-006
Agde,27,6,2014,AGD_008,Mullidae,Mullus,surmuletus,1,59,50,2.03,,,TS-005,J2 C3,TS-00548,BOX-006
Agde,27,6,2014,AGD_008,Mullidae,Mullus,surmuletus,1,57,48,2.32,,,TS-006,J2 C3,TS-00549,BOX-006
Agde,27,6,2014,AGD_009,Mullidae,Mullus,surmuletus,1,60,53,2.36,,,TS-001,J2 C4,TS-00550,BOX-006
Agde,26,7,2014,AGD_007,Mullidae,Mullus,surmuletus,1,57,48,1.83,,,TS-001,J1 C2,TS-00605,BOX-007
Agde,26,7,2014,AGD_007,Mullidae,Mullus,surmuletus,1,59,50,2.09,,,TS-002,J1 C2,TS-00606,BOX-007
Agde,26,7,2014,AGD_008,Mullidae,Mullus,surmuletus,1,55,47,1.6,,,TS,J1 C3,TS-00607,BOX-007
Agde,26,7,2014,AGD_009,Mullidae,Mullus,surmuletus,1,61,52,2.72,,,TS,J1 C4,TS-00608,BOX-007
Agde,27,7,2014,AGD_007,Mullidae,Mullus,surmuletus,1,56,47,1.81,,,TS-001,J2 C2,TS-00609,BOX-007
Agde,27,7,2014,AGD_007,Mullidae,Mullus,surmuletus,1,56,48,1.94,,,TS-002,J2 C2,TS-00610,BOX-007
Agde,27,7,2014,AGD_008,Mullidae,Mullus,surmuletus,1,56,47,1.65,,,TS-001,J2 C3,TS-00611,BOX-007
Agde,27,6,2014,AGD_009,Mullidae,Mullus,surmuletus,1,63,54,2.76,,,TS-002,J2 C4,TS-00551,BOX-006
Agde,27,6,2014,AGD_009,Mullidae,Mullus,surmuletus,1,60,51,2.35,,,TS-003,J2 C4,TS-00552,BOX-006
Agde,27,6,2014,AGD_009,Mullidae,Mullus,surmuletus,1,55,48,1.76,,,TS-004,J2 C4,TS-00553,BOX-006
Agde,27,6,2014,AGD_009,Mullidae,Mullus,surmuletus,1,62,52,2.53,,,TS-005,J2 C4,TS-00554,BOX-006
Agde,27,6,2014,AGD_009,Mullidae,Mullus,surmuletus,1,59,51,2.35,,,TS-006,J2 C4,TS-00555,BOX-006
Agde,30,6,2014,AGD_009,Carangidae,Trachurus,trachurus,1,48,40,0.91,,,,,,
Agde,27,6,2014,AGD_009,Mullidae,Mullus,surmuletus,1,54,48,1.77,,,TS-007,J2 C4,TS-00556,BOX-006
Agde,27,6,2014,AGD_009,Mullidae,Mullus,surmuletus,1,56,49,1.94,,,TS-008,J2 C4,TS-00557,BOX-006
Agde,27,6,2014,AGD_010,Mullidae,Mullus,surmuletus,1,64,54,2.5,,,TS,J2 C5,TS-00558,BOX-006
Agde,29,6,2014,AGD_006,Mullidae,Mullus,surmuletus,1,60,51,2.1,,,TS-001,J3 C1,TS-00559,BOX-006
Agde,29,6,2014,AGD_006,Mullidae,Mullus,surmuletus,1,52,43,1.31,,,TS-002,J3 C1,TS-00560,BOX-006
Agde,29,6,2014,AGD_006,Mullidae,Mullus,surmuletus,1,59,50,2.03,,,TS-003,J3 C1,TS-00561,BOX-006
Agde,30,6,2014,AGD_010,Blenniidae,Parablennius,pilicornis,1,28,25,0.19,,,,,,
Agde,29,6,2014,AGD_007,Mullidae,Mullus,surmuletus,1,53,46,1.43,,,TS-001,J3 C2,TS-00562,BOX-006
Agde,29,6,2014,AGD_007,Mullidae,Mullus,surmuletus,1,49,43,1.05,,,TS-002,J3 C2,TS-00563,BOX-006
Agde,29,6,2014,AGD_008,Mullidae,Mullus,surmuletus,1,55,46,1.64,,,TS,J3 C3,TS-00564,BOX-006
Agde,29,6,2014,AGD_009,Mullidae,Mullus,surmuletus,1,58,49,2,,,TS,J3 C4,TS-00565,BOX-006
Agde,29,6,2014,AGD_009,Blenniidae,gen.,sp.,1,11,10,,,abîme,,,,
Agde,30,6,2014,AGD_006,Mullidae,Mullus,surmuletus,1,58,50,1.86,,,TS-001,J4 C1,TS-00566,BOX-006
Agde,30,6,2014,AGD_006,Mullidae,Mullus,surmuletus,1,57,48,1.75,,,TS-002,J4 C1,TS-00567,BOX-006
Agde,30,6,2014,AGD_007,Mullidae,Mullus,surmuletus,1,59,50,2.04,,,TS-001,J4 C2,TS-00568,BOX-006
Agde,30,6,2014,AGD_007,Mullidae,Mullus,surmuletus,1,52,45,1.21,,,TS-002,J4 C2,TS-00569,BOX-006
Agde,27,6,2014,AGD_006,Blenniidae,Parablennius,pilicornis,1,29,26,0.18,,,,,,
Agde,27,6,2014,AGD_006,Blenniidae,Parablennius,pilicornis,1,26,23,0.12,,,,,,
Agde,27,6,2014,AGD_007,Carangidae,Trachurus,trachurus,1,185,150,50.31,,Juvénile,,,,
