Station,Place,Latitude,Longitude
LEU_001,Leucate,42.859970,3.065717
LEU_002,Leucate,42.869700,3.076333
LEU_003,Leucate,42.874500,3.069100
LEU_004,Leucate,42.879260,3.070983
LEU_005,Leucate,42.898920,3.075183
LEU_006,Leucate,42.898830,3.072950
LEU_007,Leucate,42.890820,3.074817
LEU_008,Leucate,42.904350,3.074433
LEU_009,Leucate,42.908600,3.075767
LEU_010,Leucate,42.913470,3.074283
LEU_011,Leucate,42.919240,3.074017
LEU_012,Leucate,42.932430,3.044217
LEU_013,Leucate,42.888570,3.073033
LEU_014,Leucate,42.880930,3.075550
LEU_015,Leucate,42.903270,3.073083
LEU_016,Leucate,42.892330,3.074500
LEU_017,Leucate,42.863670,3.040091
LEU_018,Leucate,42.876620,3.056333
LEU_019,Leucate,42.863570,3.040100
LEU_020,Leucate,42.864620,3.061950
LEU_021,Leucate,42.869300,3.062517
LEU_022,Leucate,42.870290,3.062633
LEU_023,Leucate,42.874700,3.063650
LEU_024,Leucate,42.875430,3.063450
LEU_025,Leucate,42.879330,3.063833
LEU_026,Leucate,42.879880,3.063867
LEU_027,Leucate,42.892000,3.065150
LEU_028,Leucate,42.898830,3.065117
LEU_029,Leucate,42.886120,3.055850
LEU_030,Leucate,42.881830,3.055283
LEU_031,Leucate,42.882730,3.053767
LEU_032,Leucate,42.876970,3.053767
LEU_033,Leucate,42.882000,3.021683
LEU_034,Leucate,42.869120,3.032167
LEU_035,Leucate,42.869970,3.032167
LEU_036,Leucate,42.871670,3.015500
LEU_037,Leucate,42.873130,3.013717
LEU_038,Leucate,42.873880,3.012467
LEU_039,Leucate,42.874970,3.011433
LEU_040,Leucate,42.874630,3.010317
LEU_041,Leucate,42.874700,3.012500
LEU_042,Leucate,42.889500,3.062750
LEU_043,Leucate,42.881920,3.062233
LEU_044,Leucate,42.879770,3.061767
LEU_045,Leucate,42.877320,3.061233
LEU_046,Leucate,42.872770,3.054633
LEU_047,Leucate,42.879980,3.054267
LEU_048,Leucate,42.890000,3.055000
LEU_049,Leucate,42.891400,3.054367
LEU_050,Leucate,42.892830,3.059383
LEU_051,Leucate,42.881220,3.059033
LEU_052,Leucate,42.881900,3.066183
LEU_053,Leucate,42.878780,3.065383
LEU_054,Leucate,42.875820,3.064567
LEU_055,Leucate,42.873090,3.063783
LEU_056,Leucate,42.878700,3.065533
LEU_057,Leucate,42.875580,3.064783
LEU_058,Leucate,42.875500,3.058050
LEU_059,Leucate,42.878680,3.058167
LEU_060,Leucate,42.881250,3.059017
LEU_061,Leucate,42.895330,3.059417
LEU_062,Leucate,42.899830,3.066367
LEU_063,Leucate,42.882080,3.066100
LEU_064,Leucate,42.880650,3.030333
LEU_065,Leucate,42.881950,3.012150
LEU_066,Leucate,42.876870,3.013133
LEU_067,Leucate,42.875920,3.011517
LEU_068,Leucate,42.875060,3.010183
LEU_069,Leucate,42.874150,3.009733
LEU_070,Leucate,42.872680,3.011967
LEU_071,Leucate,42.870600,3.015450
LEU_072,Leucate,42.873180,3.055667
LEU_073,Leucate,42.874570,3.056233
LEU_074,Leucate,42.876950,3.056083
LEU_075,Leucate,42.879480,3.056350
LEU_076,Leucate,42.881830,3.057333
LEU_077,Leucate,42.889500,3.057967
LEU_078,Leucate,42.886450,3.057100
LEU_079,Leucate,42.888770,3.057583
LEU_080,Leucate,42.891300,3.057950
LEU_081,Leucate,42.911910,3.064067
LEU_082,Leucate,42.914080,3.063083
LEU_083,Leucate,42.916500,3.063217
LEU_084,Leucate,42.923600,3.058900
LEU_085,Leucate,42.878720,3.061117
LEU_086,Leucate,42.888520,3.063000
LEU_087,Leucate,42.888700,3.057933
LEU_088,Leucate,42.873130,3.060250
LEU_089,Leucate,42.876030,3.060033
LEU_090,Leucate,42.916500,3.063200
LEU_091,Leucate,42.918070,3.062967
LEU_092,Leucate,42.919720,3.062233
LEU_093,Leucate,42.921630,3.059933
LEU_094,Leucate,42.923030,3.057950
LEU_095,Leucate,42.924120,3.056550
LEU_096,Leucate,42.925370,3.056367
LEU_097,Leucate,42.926480,3.055667
LEU_098,Leucate,42.927720,3.053600
LEU_099,Leucate,42.928830,3.050983
LEU_100,Leucate,42.930030,3.046750
LEU_101,Leucate,42.932430,3.044217
LEU_102,Leucate,42.914100,3.062783
LEU_103,Leucate,42.911910,3.064067
PCR_001,Port-Cros,43.012500,6.423000
PCR_002,Port-Cros,43.011050,6.422933
PCR_003,Port-Cros,43.010220,6.422717
PCR_004,Port-Cros,43.008520,6.423217
PCR_005,Port-Cros,43.008280,6.423333
PCR_006,Port-Cros,43.012170,6.423033
PCR_007,Port-Cros,43.011120,6.422833
PCR_008,Port-Cros,43.010220,6.422483
