collection_date,site,collection_time,vessel,gear,n_gear,family,species,dev_stage,n,fishId,size,comments,lat,lon,
2012-10-24,B*,,Vellele,CARE,1,Sparidae,Diplodus puntazzo,post-flexion,1,,,,43.6958,7.3108,
2012-10-24,B*,,Vellele,CARE,1,Blenniidae,Parablennius spp,post-flexion,1,,,,43.6958,7.3108,
2012-11-07,B*,,Vellele,CARE,1,Sparidae,Sarpa salpa,post-flexion,2,,,Based on the season but based on count it’s should be Boops boops (should be at spring),43.704903,7.3123083,
2012-11-07,B*,,Vellele,CARE,1,Sparidae,Pagellus bogaraveo,juvenile,1,,,"D XII/11-12 A III/10 (differentiate from P. acarne D X/12 (?), A III/9). Dorade rose. Commercial species",43.704903,7.3123083,
2012-11-14,B*,,Vellele,CARE,1,Sparidae,Sarpa salpa,post-flexion,11,,,D XII/14-16 A III/14,43.704903,7.3123083,
2012-11-14,B*,,Vellele,CARE,1,Sparidae,Pagellus bogaraveo,juvenile,10,,,,43.704903,7.3123083,
2012-11-21,B*,,Sagitta,CARE,1,Sparidae,Sarpa salpa,post-flexion,6,,,,43.695564,7.3097167,
2012-11-21,B*,,Sagitta,CARE,1,Sparidae,Pagellus bogaraveo,juvenile,1,,,,,,
2012-11-21,B*,,Sagitta,CARE,1,Engraulidae,Engraulis encrasicolus,juvenile,1,,,,43.695564,7.3097167,
2012-11-29,B*,,Vellele,CARE,1,Sparidae,Sarpa salpa,post-flexion,2,,,,43.695564,7.3097167,
2012-12-06,B*,,Sagitta,CARE,1,Sparidae,Sarpa salpa,post-flexion,1,,,,43.705284,7.3118057,
2012-12-06,B*,,Sagitta,CARE,1,Sparidae,Pagellus bogaraveo,juvenile,6,,,,43.705284,7.3118057,
2012-12-12,B*,,Vellele,CARE,1,Sparidae,Pagellus bogaraveo,juvenile,7,,,,43.70529,7.3118305,
2012-12-19,B*,,Vellele,CARE,1,Sparidae,Sarpa salpa,post-flexion,1,,,,43.693856,7.311269,
